idx	letter	header	formula	val_r12
272	JL	CTP Rate APB	=PolicyRates!AF10	0
273	JM	CTP Rate Cov 1 Tbl	=PolicyRates!AG10	0
274	JN	CTP Rate Cov 2 Tbl	=PolicyRates!AH10	0
275	JO	CTP Rate Cov 3 Tbl	=PolicyRates!AI10	0
276	JP	CTP Rate APB Tbl	=PolicyRates!AJ10	0
277	JQ	CTP Premium / CTP Cov 1	=ROUND(CHOOSE(sTarget_SA_Basis,EP12,EU12)*JI12/1000,2) + ROUND($FK12*MIN(6,JM12)*CHOOSE(sTarget_SA_Basis,EP12,EU12)/1000,2) + ROUND((12*TRUNC($FN12/12,2)+12*TRUNC($FO12/12,2))*CHOOSE(sTarget_SA_Basis,EP12,EU12)/1000,2)	154.75
278	JR	CTP Cov 2	=ROUND(CHOOSE(sTarget_SA_Basis,EQ12,EV12)*JJ12/1000,2) + ROUND($FK12*MIN(6,JN12)*CHOOSE(sTarget_SA_Basis,EQ12,EV12)/1000,2) + ROUND((12*TRUNC($FN12/12,2)+12*TRUNC($FO12/12,2))*CHOOSE(sTarget_SA_Basis,EQ12,EV12)/1000,2)	0
279	JS	CTP Cov 3	=ROUND(CHOOSE(sTarget_SA_Basis,ER12,EW12)*JK12/1000,2) + ROUND($FK12*MIN(6,JO12)*CHOOSE(sTarget_SA_Basis,ER12,EW12)/1000,2) + ROUND((12*TRUNC($FN12/12,2)+12*TRUNC($FO12/12,2))*CHOOSE(sTarget_SA_Basis,ER12,EW12)/1000,2)	0
280	JT	CTP APB	=ROUND(CHOOSE(sTarget_SA_Basis,ES12,EX12)*JL12/1000,2) + ROUND($FK12*MIN(6,JP12)*CHOOSE(sTarget_SA_Basis,ES12,EX12)/1000,2) + ROUND((12*TRUNC($FN12/12,2)+12*TRUNC($FO12/12,2))*CHOOSE(sTarget_SA_Basis,ES12,EX12)/1000,2)	0
281	JU	Sig Term CTP / CTP Rate Sig 1	=PolicyRates!AK10	0
282	JV	CTP Rate Sig 2	=PolicyRates!AL10	0
283	JW	CTP Rate Sig 3	=PolicyRates!AM10	0
284	JX	CTP Rate Sig 1 Tbl	=PolicyRates!AN10	0
285	JY	CTP Rate Sig 2 Tbl	=PolicyRates!AO10	0
286	JZ	CTP Rate Sig 3 Tbl	=PolicyRates!AP10	0
287	KA	CTP Sig 1	=IF(GK12,ROUND(GP12*JU12/1000,2) + ROUND(sTableRatingFactor*MIN(6,$GN12)*JX12,2) + ROUND(12*TRUNC(GO12/12,2)*GP12/1000,2),0)	0
288	KB	CTP Sig 2	=IF(GS12,ROUND(GX12*JV12/1000,2) + ROUND(sTableRatingFactor*MIN(6,$GN12)*JY12,2) + ROUND(12*TRUNC(GW12/12,2)*GX12/1000,2),0)	0
289	KC	CTP Sig 3	=IF(HA12,ROUND(HF12*JW12/1000,2) + ROUND(sTableRatingFactor*MIN(6,$GN12)*JZ12,2) + ROUND(12*TRUNC(HE12/12,2)*HF12/1000,2),0)	0
290	KD	Benefits CTP / PWSTP / CTPR	=PolicyRates!AQ10	0
291	KE	vPWSTP_CTP	=IF(vPWST_Active,IF(sblnFFL, JC12*JG12,vPWST_Units*KD12*(1+sTableRatingFactor*FK12)),0)	0
292	KF	CCV / CTPR	=PolicyRates!AS10	0
293	KG	CTP	=KF12*vCurrentSA/1000	0
294	KH	CTR / CTPR	=PolicyRates!AT10	0
295	KI	vCTR_CTP	=IF(vCTR_Active,vCTR_Units*KH12,0)	0
296	KJ	GIR / CTPR	=PolicyRates!EA10	0
297	KK	vGIR_CTP	=IF(vGIR_Active,vGIR_Units*KJ12,0)	0
298	KL	ADB / CTPR	=PolicyRates!AR10	0
299	KM	CTP	=IF(vADB_Active,vADB_Units*KL12,0)	0
300	KN	PW39 / CTP w/o PW	NA	NA
301	KO	CTP Rate PW	NA	NA
302	KP	CTP PW	=IV12	0
303	KQ	vCTP	=IF(sINPUT_InforceIndicator="Y", IF(vInforceValuationDate,sINPUT_CTP, IF(vPolicyChangeIndicator,SUM(JQ12,JR12,JS12,JT12)+KE12+KG12+KI12+SUM(KA12,KB12,KC12)+KK12+ROUND(KP12,2), KQ11) ), SUM(JQ12,JR12,JS12,JT12)+KE12+KG12+KI12+SUM(KA12,KB12,KC12)+KK12+ROUND(KP12,2))	154.75
304	KR			
305	KS	vGSP	=IF(sINPUT_Guideline="CVAT",0,INT(IF(vInforceValuationDate*1,sINPUT_GSP,IF(vID=1,sGSP_Issue,IF(HJ12,VLOOKUP(HK12,Guideline_Premiums!$A$4:$F$10,4,0),KS11)))/12*100)*12/100)	2680.56
306	KT	vGLP	=IF(sINPUT_Guideline="CVAT",0,INT(IF(vInforceValuationDate*1,sINPUT_GLP,IF(vID=1,sGLP_Issue,IF(HJ12,VLOOKUP(HK12,Guideline_Premiums!$A$4:$F$10,5,0),KT11)))/12*100)*12/100)	212.76
307	KU	vAccumGLP	=IF(vInforceValuationDate,sINPUT_AccumGLP,IF(vAttainedAge>=100,KU11,IF(I12,KT12+KU11,KU11)))	212.76
308	KV	vTEFRA_Limit	=MAX(KS12,KU12)	2680.56
309	KW	=KU126-KW126 / Prem-WD	=AG12-BD12	0
310	KX	vForceOut	=IF(INDEX(vExceptionPremMode,vID-1),0,IF(sINPUT_Guideline="CVAT",0,IF(NOT(sINPUT_TEFRA_Force),0,MIN(MAX(0,vAV_AfterChanges*1),MAX(KW12-KV12,0)))))	0
311	KY	v7PayPrem	=IF(vInforceValuationDate*1, sINPUT_7PayPremium,IF(vID=1, s7Pay_Issue,IF(AND(HJ12,$HK12<=sMax7702RecalcsAllowed),VLOOKUP(HK12,Guideline_Premiums!$A$4:$F$10,6,0),CalcEngine!KY11)))	563.2123230916188
312	KZ	New TAMRA Period	=IF(sCoveredByTAMRA,IF(vDate=sINPUT_Issue_Date,TRUE,vMaterialChangeIndicator),FALSE)	False
313	LA	v7PayStartDate	=IF(vMaterialChangeIndicator*1=1,vDate,IF(vInforceValuationDate,sINPUT_7PayStartDate,LA11))	1985-07-23 00:00:00
314	LB	vTAMRAMonth	=IF(sCoveredByTAMRA, IF(vInforceValuationDate,DATEDIF(LA12,vDate,"m")+1,IF(KZ12,1,LB11+1)), 9999)	9999
315	LC	vTAMRA_MonthOfYear	=MOD(LB12-1,12)+1	3
316	LD	vTAMRA_Year	=INT((LB12-1)/12)+1	834
